BarNoteClick,Message,Channel,Pitch,Velocity
0:0:3,Par,ch=1,c=67,v=127
0:2:101,On,ch=1,n=23,v=52
0:2:101,On,ch=1,n=35,v=51
0:2:103,On,ch=1,n=47,v=51
0:2:151,On,ch=1,n=23,v=0
0:2:153,On,ch=1,n=35,v=0
0:2:159,On,ch=1,n=25,v=53
0:2:159,On,ch=1,n=37,v=47
0:2:161,On,ch=1,n=47,v=0
0:2:161,On,ch=1,n=49,v=53
0:3:33,On,ch=1,n=37,v=0
0:3:33,On,ch=1,n=25,v=0
0:3:35,On,ch=1,n=49,v=0
0:3:39,On,ch=1,n=26,v=65
0:3:39,On,ch=1,n=38,v=65
0:3:39,On,ch=1,n=50,v=61
0:3:83,On,ch=1,n=50,v=0
0:3:83,On,ch=1,n=38,v=0
0:3:83,On,ch=1,n=26,v=0
1:0:11,Par,ch=1,c=67,v=0
1:2:163,On,ch=1,n=25,v=48
1:2:163,On,ch=1,n=37,v=43
1:2:163,On,ch=1,n=49,v=45
1:3:23,On,ch=1,n=49,v=0
1:3:23,On,ch=1,n=37,v=0
1:3:23,On,ch=1,n=25,v=0
1:3:37,On,ch=1,n=35,v=50
1:3:37,On,ch=1,n=47,v=49
1:3:39,On,ch=1,n=23,v=51
1:3:96,On,ch=1,n=23,v=0
1:3:96,On,ch=1,n=35,v=0
1:3:104,On,ch=1,n=47,v=0
1:3:110,On,ch=1,n=29,v=53
1:3:110,On,ch=1,n=41,v=53
1:3:110,On,ch=1,n=53,v=51
1:3:144,On,ch=1,n=53,v=0
1:3:144,On,ch=1,n=41,v=0
1:3:144,On,ch=1,n=29,v=0
2:2:151,On,ch=1,n=30,v=58
2:2:151,On,ch=1,n=42,v=60
2:2:151,On,ch=1,n=54,v=54
2:3:13,On,ch=1,n=42,v=0
2:3:13,On,ch=1,n=30,v=0
2:3:21,On,ch=1,n=54,v=0
2:3:24,On,ch=1,n=44,v=64
2:3:26,On,ch=1,n=32,v=59
2:3:26,On,ch=1,n=56,v=63
2:3:91,On,ch=1,n=32,v=0
2:3:96,On,ch=1,n=33,v=65
2:3:98,On,ch=1,n=56,v=0
2:3:98,On,ch=1,n=44,v=0
2:3:104,On,ch=1,n=45,v=65
2:3:104,On,ch=1,n=57,v=67
2:3:132,On,ch=1,n=57,v=0
2:3:132,On,ch=1,n=45,v=0
2:3:134,On,ch=1,n=33,v=0
3:2:114,On,ch=1,n=32,v=66
3:2:114,On,ch=1,n=44,v=62
