BarNoteClick,Message,Channel,Pitch,Velocity
0:0:0,Par,ch=1,c=91,v=127
0:0:0,PrCh,ch=1,p=0
0:0:0,PrCh,ch=1,p=0
0:0:0,Par,ch=1,c=7,v=127
0:0:0,On,ch=1,n=39,v=27
0:0:160,On,ch=1,n=55,v=32
0:0:160,On,ch=1,n=46,v=24
0:0:320,On,ch=1,n=46,v=0
0:0:320,On,ch=1,n=55,v=0
0:0:320,On,ch=1,n=58,v=31
0:0:320,On,ch=1,n=51,v=25
0:1:0,On,ch=1,n=51,v=0
0:1:0,On,ch=1,n=58,v=0
0:1:0,On,ch=1,n=39,v=0
0:1:0,On,ch=1,n=63,v=33
0:1:0,On,ch=1,n=55,v=27
0:1:160,On,ch=1,n=55,v=0
0:1:160,On,ch=1,n=63,v=0
0:1:160,On,ch=1,n=58,v=31
0:1:160,On,ch=1,n=51,v=24
0:1:320,On,ch=1,n=51,v=0
0:1:320,On,ch=1,n=58,v=0
0:1:320,On,ch=1,n=55,v=31
0:1:320,On,ch=1,n=46,v=24
0:2:0,On,ch=1,n=46,v=0
0:2:0,On,ch=1,n=55,v=0
0:2:0,On,ch=1,n=39,v=27
0:2:160,On,ch=1,n=55,v=31
0:2:160,On,ch=1,n=46,v=25
0:2:320,On,ch=1,n=46,v=0
0:2:320,On,ch=1,n=55,v=0
0:2:320,On,ch=1,n=58,v=31
0:2:320,On,ch=1,n=51,v=25
0:3:0,On,ch=1,n=51,v=0
0:3:0,On,ch=1,n=58,v=0
0:3:0,On,ch=1,n=39,v=0
0:3:0,On,ch=1,n=63,v=51
0:3:0,On,ch=1,n=55,v=27
0:3:160,On,ch=1,n=55,v=0
0:3:160,On,ch=1,n=58,v=30
0:3:160,On,ch=1,n=51,v=24
0:3:320,On,ch=1,n=51,v=0
0:3:320,On,ch=1,n=58,v=0
0:3:320,On,ch=1,n=55,v=30
0:3:320,On,ch=1,n=46,v=24
1:0:0,On,ch=1,n=46,v=0
1:0:0,On,ch=1,n=55,v=0
1:0:0,On,ch=1,n=63,v=0
1:0:0,On,ch=1,n=67,v=56
1:0:0,On,ch=1,n=39,v=27
1:0:160,On,ch=1,n=55,v=32
1:0:160,On,ch=1,n=46,v=24
1:0:320,On,ch=1,n=46,v=0
1:0:320,On,ch=1,n=55,v=0
1:0:320,On,ch=1,n=58,v=31
1:0:320,On,ch=1,n=51,v=25
1:1:0,On,ch=1,n=51,v=0
1:1:0,On,ch=1,n=58,v=0
1:1:0,On,ch=1,n=39,v=0
1:1:0,On,ch=1,n=63,v=37
1:1:0,On,ch=1,n=55,v=27
1:1:160,On,ch=1,n=55,v=0
1:1:160,On,ch=1,n=63,v=0
1:1:160,On,ch=1,n=58,v=31
1:1:160,On,ch=1,n=51,v=24
1:1:240,On,ch=1,n=67,v=0
1:1:240,On,ch=1,n=68,v=50
1:1:320,On,ch=1,n=51,v=0
1:1:320,On,ch=1,n=58,v=0
1:1:320,On,ch=1,n=55,v=31
1:1:320,On,ch=1,n=46,v=24
1:2:0,On,ch=1,n=46,v=0
1:2:0,On,ch=1,n=55,v=0
1:2:0,On,ch=1,n=68,v=0
1:2:0,On,ch=1,n=70,v=62
1:2:0,On,ch=1,n=39,v=27
1:2:9,Par,ch=1,c=64,v=0
1:2:25,Par,ch=1,c=64,v=127
1:2:160,On,ch=1,n=55,v=31
1:2:160,On,ch=1,n=46,v=25
1:2:320,On,ch=1,n=46,v=0
1:2:320,On,ch=1,n=55,v=0
1:2:320,On,ch=1,n=58,v=31
1:2:320,On,ch=1,n=51,v=25
1:3:0,On,ch=1,n=51,v=0
1:3:0,On,ch=1,n=70,v=0
1:3:0,On,ch=1,n=39,v=0
1:3:0,On,ch=1,n=58,v=0
1:3:0,On,ch=1,n=63,v=52
1:3:0,On,ch=1,n=55,v=27
1:3:160,On,ch=1,n=55,v=0
1:3:160,On,ch=1,n=58,v=30
1:3:160,On,ch=1,n=51,v=24
1:3:320,On,ch=1,n=51,v=0
1:3:320,On,ch=1,n=58,v=0
1:3:320,On,ch=1,n=55,v=30
1:3:320,On,ch=1,n=46,v=24
2:0:0,On,ch=1,n=46,v=0
2:0:0,On,ch=1,n=55,v=0
2:0:0,On,ch=1,n=63,v=0
2:0:0,On,ch=1,n=68,v=56
2:0:0,On,ch=1,n=34,v=27
2:0:5,Par,ch=1,c=64,v=0
2:0:32,Par,ch=1,c=64,v=127
2:0:160,On,ch=1,n=56,v=32
2:0:160,On,ch=1,n=46,v=24
2:0:320,On,ch=1,n=46,v=0
2:0:320,On,ch=1,n=56,v=0
2:0:320,On,ch=1,n=58,v=31
2:0:320,On,ch=1,n=50,v=25
2:1:0,On,ch=1,n=50,v=0
2:1:0,On,ch=1,n=68,v=0
2:1:0,On,ch=1,n=34,v=0
2:1:0,On,ch=1,n=58,v=0
2:1:0,On,ch=1,n=62,v=40
2:1:0,On,ch=1,n=53,v=27
2:1:160,On,ch=1,n=53,v=0
2:1:160,On,ch=1,n=58,v=31
2:1:160,On,ch=1,n=50,v=24
2:1:320,On,ch=1,n=50,v=0
2:1:320,On,ch=1,n=58,v=0
2:1:320,On,ch=1,n=56,v=31
2:1:320,On,ch=1,n=46,v=24
2:2:0,On,ch=1,n=46,v=0
2:2:0,On,ch=1,n=56,v=0
2:2:0,On,ch=1,n=62,v=0
2:2:0,On,ch=1,n=63,v=62
2:2:0,On,ch=1,n=36,v=27
2:2:10,Par,ch=1,c=64,v=0
2:2:53,Par,ch=1,c=64,v=127
2:2:160,On,ch=1,n=51,v=32
2:2:160,On,ch=1,n=43,v=32
2:2:320,On,ch=1,n=43,v=0
2:2:320,On,ch=1,n=51,v=0
2:2:320,On,ch=1,n=55,v=32
2:2:320,On,ch=1,n=48,v=32
2:3:0,On,ch=1,n=48,v=0
2:3:0,On,ch=1,n=55,v=0
2:3:0,On,ch=1,n=36,v=0
2:3:0,On,ch=1,n=60,v=35
2:3:0,On,ch=1,n=51,v=35
2:3:160,On,ch=1,n=51,v=0
2:3:160,On,ch=1,n=60,v=0
2:3:160,On,ch=1,n=55,v=29
2:3:160,On,ch=1,n=48,v=29
2:3:240,On,ch=1,n=63,v=0
2:3:240,On,ch=1,n=62,v=58
2:3:320,On,ch=1,n=48,v=0
2:3:320,On,ch=1,n=55,v=0
2:3:320,On,ch=1,n=51,v=30
2:3:320,On,ch=1,n=43,v=30
3:0:0,On,ch=1,n=43,v=0
3:0:0,On,ch=1,n=51,v=0
3:0:0,On,ch=1,n=62,v=0
3:0:0,On,ch=1,n=60,v=64
