BarNoteClick,Message,Channel,Pitch,Velocity
0:0:0,PrCh,ch=3,p=71
0:0:0,Par,ch=3,c=7,v=127
0:0:0,Par,ch=3,c=10,v=50
0:0:0,Par,ch=3,c=11,v=101
0:0:0,Par,ch=3,c=91,v=127
17:0:0,Par,ch=3,c=7,v=64
17:3:0,On,ch=3,n=41,v=90
18:0:0,On,ch=3,n=41,v=0
18:0:0,On,ch=3,n=42,v=90
18:0:0,Par,ch=3,c=7,v=64
18:0:25,Par,ch=3,c=7,v=65
18:0:51,Par,ch=3,c=7,v=66
18:1:17,Par,ch=3,c=7,v=67
18:1:42,Par,ch=3,c=7,v=68
18:2:8,Par,ch=3,c=7,v=69
18:2:34,Par,ch=3,c=7,v=70
18:3:0,On,ch=3,n=42,v=0
18:3:0,On,ch=3,n=43,v=90
18:3:0,Par,ch=3,c=7,v=71
18:3:25,Par,ch=3,c=7,v=72
18:3:51,Par,ch=3,c=7,v=73
18:4:17,Par,ch=3,c=7,v=74
18:4:42,Par,ch=3,c=7,v=75
18:5:8,Par,ch=3,c=7,v=76
18:5:34,Par,ch=3,c=7,v=77
19:0:0,On,ch=3,n=43,v=0
19:0:0,On,ch=3,n=45,v=90
19:0:0,Par,ch=3,c=7,v=78
19:0:25,Par,ch=3,c=7,v=79
19:0:51,Par,ch=3,c=7,v=80
19:1:17,Par,ch=3,c=7,v=81
19:1:42,Par,ch=3,c=7,v=82
19:2:8,Par,ch=3,c=7,v=83
19:2:34,Par,ch=3,c=7,v=84
19:3:0,On,ch=3,n=45,v=0
19:3:0,On,ch=3,n=43,v=90
19:3:0,Par,ch=3,c=7,v=85
19:3:25,Par,ch=3,c=7,v=86
19:3:51,Par,ch=3,c=7,v=87
19:4:17,Par,ch=3,c=7,v=88
19:4:42,Par,ch=3,c=7,v=89
19:5:0,On,ch=3,n=43,v=0
19:5:0,On,ch=3,n=41,v=90
19:5:8,Par,ch=3,c=7,v=90
19:5:34,Par,ch=3,c=7,v=91
20:0:0,On,ch=3,n=41,v=0
20:0:0,On,ch=3,n=40,v=90
20:0:0,Par,ch=3,c=7,v=92
20:0:25,Par,ch=3,c=7,v=93
20:0:51,Par,ch=3,c=7,v=94
20:1:17,Par,ch=3,c=7,v=95
20:1:42,Par,ch=3,c=7,v=96
