BarNoteClick,Message,Channel,Pitch,Velocity
0:0:0,PrCh,ch=6,p=70
0:0:0,Par,ch=6,c=7,v=127
0:0:0,Par,ch=6,c=10,v=72
0:0:0,Par,ch=6,c=11,v=101
0:0:0,Par,ch=6,c=91,v=127
15:5:57,Par,ch=6,c=7,v=59
16:0:0,On,ch=6,n=40,v=90
16:0:10,Par,ch=6,c=7,v=60
16:0:20,Par,ch=6,c=7,v=61
16:0:30,Par,ch=6,c=7,v=62
16:0:40,Par,ch=6,c=7,v=63
16:0:50,Par,ch=6,c=7,v=64
16:1:0,Par,ch=6,c=7,v=65
16:1:10,Par,ch=6,c=7,v=66
16:1:20,Par,ch=6,c=7,v=67
16:1:30,Par,ch=6,c=7,v=68
16:1:40,Par,ch=6,c=7,v=69
16:1:50,Par,ch=6,c=7,v=70
16:2:3,Par,ch=6,c=7,v=71
16:2:13,Par,ch=6,c=7,v=72
16:2:23,Par,ch=6,c=7,v=73
16:2:33,Par,ch=6,c=7,v=74
16:2:43,Par,ch=6,c=7,v=75
16:2:53,Par,ch=6,c=7,v=76
16:3:3,Par,ch=6,c=7,v=77
16:3:13,Par,ch=6,c=7,v=78
16:3:23,Par,ch=6,c=7,v=79
16:3:33,Par,ch=6,c=7,v=80
16:3:43,Par,ch=6,c=7,v=81
16:3:53,Par,ch=6,c=7,v=82
16:4:7,Par,ch=6,c=7,v=83
16:4:17,Par,ch=6,c=7,v=84
16:4:27,Par,ch=6,c=7,v=85
16:4:37,Par,ch=6,c=7,v=86
16:4:47,Par,ch=6,c=7,v=87
16:4:57,Par,ch=6,c=7,v=88
16:5:7,Par,ch=6,c=7,v=89
16:5:17,Par,ch=6,c=7,v=90
16:5:27,Par,ch=6,c=7,v=91
16:5:37,Par,ch=6,c=7,v=92
16:5:47,Par,ch=6,c=7,v=93
16:5:57,Par,ch=6,c=7,v=94
17:0:0,On,ch=6,n=40,v=0
17:0:0,On,ch=6,n=41,v=90
17:1:0,On,ch=6,n=41,v=0
17:2:57,Par,ch=6,c=7,v=59
17:3:0,On,ch=6,n=48,v=90
17:5:57,Par,ch=6,c=7,v=59
18:0:0,On,ch=6,n=48,v=0
18:0:0,On,ch=6,n=50,v=90
18:0:0,Par,ch=6,c=7,v=59
18:0:30,Par,ch=6,c=7,v=60
