BarNoteClick,Message,Channel,Pitch,Velocity
0:0:0,PrCh,ch=15,p=48
0:0:0,Par,ch=15,c=7,v=127
0:0:0,Par,ch=15,c=10,v=90
0:0:0,PrCh,ch=15,p=49
0:0:0,Par,ch=15,c=11,v=101
0:0:0,Par,ch=15,c=91,v=127
0:4:42,Par,ch=15,c=7,v=0
0:4:51,Par,ch=15,c=7,v=3
0:4:55,Par,ch=15,c=7,v=4
0:5:0,On,ch=15,n=57,v=127
0:5:1,Par,ch=15,c=7,v=2
0:5:2,Par,ch=15,c=7,v=3
0:5:3,Par,ch=15,c=7,v=7
0:5:4,Par,ch=15,c=7,v=8
0:5:6,Par,ch=15,c=7,v=10
0:5:7,Par,ch=15,c=7,v=15
0:5:8,Par,ch=15,c=7,v=16
0:5:10,Par,ch=15,c=7,v=17
0:5:11,Par,ch=15,c=7,v=20
0:5:13,Par,ch=15,c=7,v=21
0:5:15,Par,ch=15,c=7,v=24
0:5:16,Par,ch=15,c=7,v=26
0:5:17,Par,ch=15,c=7,v=27
0:5:19,Par,ch=15,c=7,v=28
0:5:20,Par,ch=15,c=7,v=29
0:5:21,Par,ch=15,c=7,v=31
0:5:23,Par,ch=15,c=7,v=32
0:5:26,Par,ch=15,c=7,v=33
0:5:27,Par,ch=15,c=7,v=37
0:5:28,Par,ch=15,c=7,v=38
0:5:30,Par,ch=15,c=7,v=39
0:5:31,Par,ch=15,c=7,v=40
0:5:32,Par,ch=15,c=7,v=42
0:5:33,Par,ch=15,c=7,v=43
0:5:34,Par,ch=15,c=7,v=44
0:5:35,Par,ch=15,c=7,v=45
0:5:36,Par,ch=15,c=7,v=46
0:5:37,Par,ch=15,c=7,v=47
0:5:39,Par,ch=15,c=7,v=48
0:5:43,Par,ch=15,c=7,v=49
0:5:44,Par,ch=15,c=7,v=50
0:5:45,Par,ch=15,c=7,v=51
0:5:46,Par,ch=15,c=7,v=52
0:5:47,Par,ch=15,c=7,v=53
0:5:56,Par,ch=15,c=7,v=56
1:0:0,On,ch=15,n=57,v=0
1:0:0,On,ch=15,n=65,v=127
1:0:15,Par,ch=15,c=7,v=56
1:0:30,Par,ch=15,c=7,v=57
1:0:45,Par,ch=15,c=7,v=58
1:1:0,Par,ch=15,c=7,v=59
1:1:15,Par,ch=15,c=7,v=60
1:1:30,Par,ch=15,c=7,v=61
1:1:45,Par,ch=15,c=7,v=62
1:2:0,Par,ch=15,c=7,v=63
1:2:15,Par,ch=15,c=7,v=64
1:2:30,Par,ch=15,c=7,v=65
1:2:45,Par,ch=15,c=7,v=66
1:3:0,Par,ch=15,c=7,v=67
1:3:15,Par,ch=15,c=7,v=68
1:3:30,Par,ch=15,c=7,v=69
1:3:45,Par,ch=15,c=7,v=70
1:4:0,Par,ch=15,c=7,v=71
1:4:15,Par,ch=15,c=7,v=72
1:4:30,Par,ch=15,c=7,v=73
1:4:45,Par,ch=15,c=7,v=74
1:5:0,On,ch=15,n=65,v=0
1:5:0,On,ch=15,n=64,v=127
1:5:0,Par,ch=15,c=7,v=75
1:5:15,Par,ch=15,c=7,v=76
1:5:30,Par,ch=15,c=7,v=77
1:5:45,Par,ch=15,c=7,v=78
2:0:0,On,ch=15,n=64,v=0
2:0:0,On,ch=15,n=63,v=127
2:0:0,Par,ch=15,c=7,v=79
2:0:5,Par,ch=15,c=7,v=79
2:0:15,Par,ch=15,c=7,v=78
2:0:20,Par,ch=15,c=7,v=77
2:0:30,Par,ch=15,c=7,v=76
2:0:35,Par,ch=15,c=7,v=75
2:0:40,Par,ch=15,c=7,v=74
2:0:50,Par,ch=15,c=7,v=73
2:0:55,Par,ch=15,c=7,v=72
2:1:5,Par,ch=15,c=7,v=71
2:1:10,Par,ch=15,c=7,v=70
2:1:15,Par,ch=15,c=7,v=69
2:1:25,Par,ch=15,c=7,v=68
2:1:30,Par,ch=15,c=7,v=67
2:1:40,Par,ch=15,c=7,v=66
2:1:45,Par,ch=15,c=7,v=65
2:1:50,Par,ch=15,c=7,v=64
2:2:0,Par,ch=15,c=7,v=63
