BarNoteClick,Message,Channel,Pitch,Velocity
0:0:0,PrCh,ch=3,p=71
0:0:0,Par,ch=3,c=7,v=127
0:0:0,Par,ch=3,c=10,v=58
0:0:0,Par,ch=3,c=91,v=127
0:0:0,Par,ch=3,c=11,v=101
2:0:0,On,ch=3,n=53,v=100
2:0:0,On,ch=3,n=59,v=100
2:0:0,Par,ch=3,c=7,v=59
2:0:12,Par,ch=3,c=7,v=58
2:0:24,Par,ch=3,c=7,v=57
2:0:36,Par,ch=3,c=7,v=56
2:0:48,Par,ch=3,c=7,v=55
2:1:0,Par,ch=3,c=7,v=54
2:1:12,Par,ch=3,c=7,v=53
2:1:24,Par,ch=3,c=7,v=52
2:1:36,Par,ch=3,c=7,v=51
2:1:48,Par,ch=3,c=7,v=50
2:2:0,Par,ch=3,c=7,v=49
2:2:12,Par,ch=3,c=7,v=48
2:2:24,Par,ch=3,c=7,v=47
2:2:36,Par,ch=3,c=7,v=46
2:2:48,Par,ch=3,c=7,v=45
2:3:0,Par,ch=3,c=7,v=44
2:3:12,Par,ch=3,c=7,v=43
2:3:24,Par,ch=3,c=7,v=42
2:3:36,Par,ch=3,c=7,v=41
2:3:48,Par,ch=3,c=7,v=40
2:4:0,On,ch=3,n=59,v=0
2:4:0,On,ch=3,n=53,v=0
2:4:0,Par,ch=3,c=7,v=39
6:0:0,On,ch=3,n=71,v=110
6:0:0,On,ch=3,n=56,v=100
6:0:0,Par,ch=3,c=7,v=64
6:0:13,Par,ch=3,c=7,v=63
6:0:26,Par,ch=3,c=7,v=62
6:0:38,Par,ch=3,c=7,v=61
6:0:51,Par,ch=3,c=7,v=60
6:1:3,Par,ch=3,c=7,v=59
6:1:16,Par,ch=3,c=7,v=58
6:1:30,Par,ch=3,c=7,v=57
6:1:41,Par,ch=3,c=7,v=56
6:1:55,Par,ch=3,c=7,v=55
6:2:6,Par,ch=3,c=7,v=54
6:2:20,Par,ch=3,c=7,v=53
6:2:31,Par,ch=3,c=7,v=52
6:2:45,Par,ch=3,c=7,v=51
6:2:58,Par,ch=3,c=7,v=50
6:3:10,Par,ch=3,c=7,v=49
6:3:23,Par,ch=3,c=7,v=48
6:3:35,Par,ch=3,c=7,v=47
6:3:48,Par,ch=3,c=7,v=46
6:4:0,On,ch=3,n=56,v=0
