BarNoteClick,Message,Channel,Pitch,Velocity
0:0:0,PrCh,ch=15,p=48
0:0:0,Par,ch=15,c=7,v=127
0:0:0,Par,ch=15,c=10,v=100
0:0:0,Par,ch=15,c=7,v=127
0:0:0,Par,ch=15,c=11,v=101
0:0:0,Par,ch=15,c=91,v=127
17:0:0,On,ch=15,n=41,v=127
17:0:0,Par,ch=15,c=7,v=114
17:0:5,Par,ch=15,c=7,v=113
17:0:10,Par,ch=15,c=7,v=112
17:0:15,Par,ch=15,c=7,v=111
17:0:20,Par,ch=15,c=7,v=109
17:0:25,Par,ch=15,c=7,v=108
17:0:30,Par,ch=15,c=7,v=107
17:0:35,Par,ch=15,c=7,v=106
17:0:40,Par,ch=15,c=7,v=104
17:0:45,Par,ch=15,c=7,v=103
17:0:50,Par,ch=15,c=7,v=102
17:0:55,Par,ch=15,c=7,v=101
17:1:0,Par,ch=15,c=7,v=99
17:1:5,Par,ch=15,c=7,v=98
17:1:10,Par,ch=15,c=7,v=97
17:1:15,Par,ch=15,c=7,v=96
17:1:20,Par,ch=15,c=7,v=94
17:1:25,Par,ch=15,c=7,v=93
17:1:30,Par,ch=15,c=7,v=92
17:1:35,Par,ch=15,c=7,v=91
17:1:40,Par,ch=15,c=7,v=89
17:1:45,Par,ch=15,c=7,v=88
17:1:50,Par,ch=15,c=7,v=87
17:1:55,Par,ch=15,c=7,v=86
17:2:0,Par,ch=15,c=7,v=84
17:2:5,Par,ch=15,c=7,v=83
17:2:10,Par,ch=15,c=7,v=82
17:2:15,Par,ch=15,c=7,v=81
17:2:20,Par,ch=15,c=7,v=79
17:2:25,Par,ch=15,c=7,v=78
17:2:30,Par,ch=15,c=7,v=77
17:2:35,Par,ch=15,c=7,v=76
17:2:40,Par,ch=15,c=7,v=74
17:2:45,Par,ch=15,c=7,v=73
17:2:50,Par,ch=15,c=7,v=72
17:2:55,Par,ch=15,c=7,v=71
17:3:0,Par,ch=15,c=7,v=69
17:4:0,On,ch=15,n=41,v=0
21:3:0,On,ch=15,n=43,v=127
22:0:0,On,ch=15,n=43,v=0
22:0:0,On,ch=15,n=45,v=127
22:3:0,On,ch=15,n=45,v=0
22:3:0,On,ch=15,n=46,v=127
22:3:0,Par,ch=15,c=7,v=69
22:3:5,Par,ch=15,c=7,v=70
22:3:10,Par,ch=15,c=7,v=71
22:3:15,Par,ch=15,c=7,v=72
22:3:20,Par,ch=15,c=7,v=74
22:3:25,Par,ch=15,c=7,v=75
22:3:30,Par,ch=15,c=7,v=76
22:3:35,Par,ch=15,c=7,v=78
22:3:40,Par,ch=15,c=7,v=79
22:3:45,Par,ch=15,c=7,v=80
22:3:50,Par,ch=15,c=7,v=82
22:3:55,Par,ch=15,c=7,v=83
22:4:0,Par,ch=15,c=7,v=84
22:4:5,Par,ch=15,c=7,v=86
22:4:10,Par,ch=15,c=7,v=87
22:4:15,Par,ch=15,c=7,v=88
22:4:20,Par,ch=15,c=7,v=90
22:4:25,Par,ch=15,c=7,v=91
22:4:30,Par,ch=15,c=7,v=92
22:4:35,Par,ch=15,c=7,v=94
22:4:40,Par,ch=15,c=7,v=93
22:4:45,Par,ch=15,c=7,v=92
22:4:50,Par,ch=15,c=7,v=90
22:4:55,Par,ch=15,c=7,v=89
22:5:0,Par,ch=15,c=7,v=87
22:5:5,Par,ch=15,c=7,v=86
22:5:10,Par,ch=15,c=7,v=84
22:5:15,Par,ch=15,c=7,v=83
22:5:20,Par,ch=15,c=7,v=81
22:5:25,Par,ch=15,c=7,v=80
22:5:30,Par,ch=15,c=7,v=78
22:5:35,Par,ch=15,c=7,v=77
22:5:40,Par,ch=15,c=7,v=75
22:5:45,Par,ch=15,c=7,v=74
22:5:50,Par,ch=15,c=7,v=72
22:5:55,Par,ch=15,c=7,v=71
23:0:0,On,ch=15,n=46,v=0
23:0:0,On,ch=15,n=47,v=127
23:0:0,Par,ch=15,c=7,v=69
23:3:0,On,ch=15,n=47,v=0
23:3:0,On,ch=15,n=45,v=127
23:3:0,Par,ch=15,c=7,v=69
