BarNoteClick,Message,Channel,Pitch,Velocity
0:0:0,PrCh,ch=5,p=60
0:0:0,Par,ch=4,c=7,v=127
0:0:0,Par,ch=4,c=10,v=72
0:0:0,Par,ch=4,c=11,v=101
0:0:0,Par,ch=4,c=91,v=127
2:0:0,On,ch=4,n=63,v=90
2:0:0,Par,ch=4,c=7,v=64
2:0:18,Par,ch=4,c=7,v=63
2:0:36,Par,ch=4,c=7,v=62
2:0:54,Par,ch=4,c=7,v=61
2:1:12,Par,ch=4,c=7,v=60
2:1:30,Par,ch=4,c=7,v=59
2:1:48,Par,ch=4,c=7,v=58
2:2:6,Par,ch=4,c=7,v=57
2:2:24,Par,ch=4,c=7,v=56
2:2:42,Par,ch=4,c=7,v=55
2:3:0,Par,ch=4,c=7,v=54
2:3:18,Par,ch=4,c=7,v=53
2:3:36,Par,ch=4,c=7,v=52
2:3:54,Par,ch=4,c=7,v=51
2:4:12,Par,ch=4,c=7,v=50
2:4:30,Par,ch=4,c=7,v=49
2:4:48,Par,ch=4,c=7,v=48
2:5:6,Par,ch=4,c=7,v=47
2:5:24,Par,ch=4,c=7,v=46
2:5:42,Par,ch=4,c=7,v=45
3:0:0,On,ch=4,n=63,v=0
3:0:0,On,ch=4,n=62,v=90
3:0:0,Par,ch=4,c=7,v=44
3:4:0,On,ch=4,n=62,v=0
6:0:0,On,ch=4,n=66,v=90
6:0:0,Par,ch=4,c=7,v=79
6:0:1,Par,ch=4,c=7,v=64
6:0:19,Par,ch=4,c=7,v=63
6:0:37,Par,ch=4,c=7,v=62
6:0:55,Par,ch=4,c=7,v=61
6:1:13,Par,ch=4,c=7,v=60
6:1:31,Par,ch=4,c=7,v=59
6:1:49,Par,ch=4,c=7,v=58
6:2:7,Par,ch=4,c=7,v=57
6:2:25,Par,ch=4,c=7,v=56
6:2:43,Par,ch=4,c=7,v=55
6:3:1,Par,ch=4,c=7,v=54
6:3:19,Par,ch=4,c=7,v=53
6:3:37,Par,ch=4,c=7,v=52
6:3:55,Par,ch=4,c=7,v=51
6:4:13,Par,ch=4,c=7,v=50
6:4:31,Par,ch=4,c=7,v=49
6:4:49,Par,ch=4,c=7,v=48
6:5:7,Par,ch=4,c=7,v=47
6:5:25,Par,ch=4,c=7,v=46
6:5:43,Par,ch=4,c=7,v=45
7:0:0,On,ch=4,n=66,v=0
7:0:0,On,ch=4,n=65,v=90
7:0:1,Par,ch=4,c=7,v=44
7:4:0,On,ch=4,n=65,v=0
10:0:0,On,ch=4,n=68,v=90
10:0:0,Par,ch=4,c=7,v=69
10:0:16,Par,ch=4,c=7,v=68
10:0:31,Par,ch=4,c=7,v=67
10:0:46,Par,ch=4,c=7,v=66
10:1:1,Par,ch=4,c=7,v=65
10:1:16,Par,ch=4,c=7,v=64
10:1:31,Par,ch=4,c=7,v=63
10:1:46,Par,ch=4,c=7,v=62
10:2:1,Par,ch=4,c=7,v=61
10:2:16,Par,ch=4,c=7,v=60
10:2:31,Par,ch=4,c=7,v=59
10:2:46,Par,ch=4,c=7,v=58
10:3:1,Par,ch=4,c=7,v=57
10:3:16,Par,ch=4,c=7,v=56
10:3:31,Par,ch=4,c=7,v=55
10:3:46,Par,ch=4,c=7,v=54
10:4:1,Par,ch=4,c=7,v=53
10:4:16,Par,ch=4,c=7,v=52
10:4:31,Par,ch=4,c=7,v=51
10:4:46,Par,ch=4,c=7,v=50
10:5:1,Par,ch=4,c=7,v=49
10:5:16,Par,ch=4,c=7,v=48
10:5:31,Par,ch=4,c=7,v=47
10:5:46,Par,ch=4,c=7,v=46
11:0:0,On,ch=4,n=68,v=0
11:0:0,On,ch=4,n=69,v=90
11:0:1,Par,ch=4,c=7,v=45
11:4:0,On,ch=4,n=69,v=0
11:5:59,Par,ch=4,c=7,v=50
12:0:0,On,ch=4,n=72,v=90
12:0:29,Par,ch=4,c=7,v=51
12:0:59,Par,ch=4,c=7,v=52
12:1:29,Par,ch=4,c=7,v=53
12:1:59,Par,ch=4,c=7,v=54
12:2:29,Par,ch=4,c=7,v=55
12:2:59,Par,ch=4,c=7,v=56
12:3:29,Par,ch=4,c=7,v=57
12:3:59,Par,ch=4,c=7,v=58
12:4:29,Par,ch=4,c=7,v=59
12:4:59,Par,ch=4,c=7,v=60
12:5:29,Par,ch=4,c=7,v=61
12:5:59,Par,ch=4,c=7,v=62
13:0:0,On,ch=4,n=72,v=0
13:0:0,On,ch=4,n=71,v=90
13:0:19,Par,ch=4,c=7,v=61
13:0:38,Par,ch=4,c=7,v=60
13:0:57,Par,ch=4,c=7,v=59
13:1:16,Par,ch=4,c=7,v=58
13:1:35,Par,ch=4,c=7,v=57
13:1:54,Par,ch=4,c=7,v=56
13:2:13,Par,ch=4,c=7,v=55
13:2:31,Par,ch=4,c=7,v=54
13:2:50,Par,ch=4,c=7,v=53
13:3:10,Par,ch=4,c=7,v=52
