BarNoteClick,Message,Channel,Pitch,Velocity
0:0:0,PrCh,ch=1,p=73
0:0:0,Par,ch=1,c=7,v=127
0:0:0,Par,ch=1,c=10,v=60
0:0:0,Par,ch=1,c=11,v=101
0:0:0,Par,ch=1,c=91,v=127
11:5:59,Par,ch=1,c=7,v=50
12:0:0,On,ch=1,n=86,v=100
12:0:12,Par,ch=1,c=7,v=50
12:0:22,Par,ch=1,c=7,v=51
12:0:32,Par,ch=1,c=7,v=52
12:0:43,Par,ch=1,c=7,v=53
12:0:53,Par,ch=1,c=7,v=54
12:1:3,Par,ch=1,c=7,v=55
12:1:13,Par,ch=1,c=7,v=56
12:1:24,Par,ch=1,c=7,v=57
12:1:34,Par,ch=1,c=7,v=58
12:1:44,Par,ch=1,c=7,v=59
12:1:54,Par,ch=1,c=7,v=60
12:2:5,Par,ch=1,c=7,v=61
12:2:15,Par,ch=1,c=7,v=62
12:2:25,Par,ch=1,c=7,v=63
12:2:35,Par,ch=1,c=7,v=64
12:2:46,Par,ch=1,c=7,v=65
12:2:56,Par,ch=1,c=7,v=66
12:3:6,Par,ch=1,c=7,v=67
12:3:16,Par,ch=1,c=7,v=68
12:3:27,Par,ch=1,c=7,v=69
12:3:37,Par,ch=1,c=7,v=70
12:3:47,Par,ch=1,c=7,v=71
12:3:57,Par,ch=1,c=7,v=72
12:4:0,On,ch=1,n=86,v=0
12:4:0,On,ch=1,n=87,v=100
12:4:8,Par,ch=1,c=7,v=73
12:4:18,Par,ch=1,c=7,v=74
12:4:28,Par,ch=1,c=7,v=75
12:4:38,Par,ch=1,c=7,v=76
12:4:49,Par,ch=1,c=7,v=77
12:4:59,Par,ch=1,c=7,v=78
12:5:0,On,ch=1,n=87,v=0
12:5:0,On,ch=1,n=88,v=100
12:5:9,Par,ch=1,c=7,v=79
12:5:19,Par,ch=1,c=7,v=80
12:5:30,Par,ch=1,c=7,v=81
12:5:40,Par,ch=1,c=7,v=82
12:5:50,Par,ch=1,c=7,v=83
13:0:0,On,ch=1,n=88,v=0
13:0:0,On,ch=1,n=89,v=100
13:0:0,Par,ch=1,c=7,v=84
13:0:9,Par,ch=1,c=7,v=83
13:0:17,Par,ch=1,c=7,v=82
13:0:25,Par,ch=1,c=7,v=81
13:0:34,Par,ch=1,c=7,v=80
13:0:42,Par,ch=1,c=7,v=79
13:0:50,Par,ch=1,c=7,v=78
13:0:59,Par,ch=1,c=7,v=77
13:1:0,On,ch=1,n=89,v=0
13:1:0,On,ch=1,n=90,v=100
