BarNoteClick,Message,Channel,Pitch,Velocity
0:0:0,PrCh,ch=5,p=60
0:0:0,Par,ch=5,c=7,v=127
0:0:0,Par,ch=5,c=10,v=66
0:0:0,Par,ch=5,c=11,v=101
0:0:0,Par,ch=5,c=91,v=127
16:0:0,On,ch=5,n=65,v=90
16:0:0,On,ch=5,n=52,v=90
16:0:0,Par,ch=5,c=7,v=89
16:3:0,On,ch=5,n=65,v=0
16:3:0,On,ch=5,n=71,v=90
16:3:0,Par,ch=5,c=7,v=94
17:0:0,On,ch=5,n=71,v=0
17:0:0,On,ch=5,n=52,v=0
17:0:0,On,ch=5,n=59,v=90
17:0:0,On,ch=5,n=71,v=90
17:0:0,Par,ch=5,c=7,v=109
17:0:6,Par,ch=5,c=7,v=108
17:0:13,Par,ch=5,c=7,v=107
17:0:16,Par,ch=5,c=7,v=106
17:0:23,Par,ch=5,c=7,v=105
17:0:26,Par,ch=5,c=7,v=104
17:0:33,Par,ch=5,c=7,v=103
17:0:40,Par,ch=5,c=7,v=102
17:0:43,Par,ch=5,c=7,v=101
17:0:50,Par,ch=5,c=7,v=100
17:0:53,Par,ch=5,c=7,v=99
17:1:0,Par,ch=5,c=7,v=98
17:1:6,Par,ch=5,c=7,v=97
17:1:10,Par,ch=5,c=7,v=96
17:1:16,Par,ch=5,c=7,v=95
17:1:20,Par,ch=5,c=7,v=94
17:1:26,Par,ch=5,c=7,v=93
17:1:33,Par,ch=5,c=7,v=92
17:1:36,Par,ch=5,c=7,v=91
17:1:43,Par,ch=5,c=7,v=90
17:1:46,Par,ch=5,c=7,v=89
17:1:53,Par,ch=5,c=7,v=88
17:2:0,Par,ch=5,c=7,v=87
17:2:3,Par,ch=5,c=7,v=86
17:2:10,Par,ch=5,c=7,v=85
17:2:13,Par,ch=5,c=7,v=84
17:2:20,Par,ch=5,c=7,v=83
17:2:26,Par,ch=5,c=7,v=82
17:2:30,Par,ch=5,c=7,v=81
17:2:36,Par,ch=5,c=7,v=80
17:2:40,Par,ch=5,c=7,v=79
17:2:46,Par,ch=5,c=7,v=78
17:2:53,Par,ch=5,c=7,v=77
17:2:56,Par,ch=5,c=7,v=76
17:3:3,Par,ch=5,c=7,v=75
17:3:6,Par,ch=5,c=7,v=74
17:3:13,Par,ch=5,c=7,v=73
17:3:20,Par,ch=5,c=7,v=72
17:3:23,Par,ch=5,c=7,v=71
17:3:30,Par,ch=5,c=7,v=70
17:3:33,Par,ch=5,c=7,v=69
17:3:40,Par,ch=5,c=7,v=68
17:3:46,Par,ch=5,c=7,v=67
17:3:50,Par,ch=5,c=7,v=66
17:3:56,Par,ch=5,c=7,v=65
17:4:0,On,ch=5,n=71,v=0
17:4:0,On,ch=5,n=59,v=0
17:4:0,Par,ch=5,c=7,v=64
20:0:0,On,ch=5,n=55,v=90
20:0:0,On,ch=5,n=67,v=90
20:0:0,Par,ch=5,c=7,v=85
20:0:10,Par,ch=5,c=7,v=86
20:0:16,Par,ch=5,c=7,v=87
20:0:26,Par,ch=5,c=7,v=88
20:0:33,Par,ch=5,c=7,v=89
20:0:43,Par,ch=5,c=7,v=90
20:0:50,Par,ch=5,c=7,v=91
20:1:0,Par,ch=5,c=7,v=92
20:1:6,Par,ch=5,c=7,v=93
20:1:16,Par,ch=5,c=7,v=94
20:1:23,Par,ch=5,c=7,v=95
20:1:30,Par,ch=5,c=7,v=96
20:1:40,Par,ch=5,c=7,v=97
20:1:46,Par,ch=5,c=7,v=98
20:1:56,Par,ch=5,c=7,v=99
20:2:3,Par,ch=5,c=7,v=100
20:2:13,Par,ch=5,c=7,v=101
20:2:20,Par,ch=5,c=7,v=102
20:2:30,Par,ch=5,c=7,v=103
20:2:36,Par,ch=5,c=7,v=104
20:2:46,Par,ch=5,c=7,v=105
20:2:53,Par,ch=5,c=7,v=106
20:3:0,Par,ch=5,c=7,v=107
20:3:10,Par,ch=5,c=7,v=106
20:3:16,Par,ch=5,c=7,v=105
20:3:23,Par,ch=5,c=7,v=104
20:3:30,Par,ch=5,c=7,v=103
20:3:40,Par,ch=5,c=7,v=102
20:3:46,Par,ch=5,c=7,v=101
20:3:53,Par,ch=5,c=7,v=100
20:4:0,Par,ch=5,c=7,v=99
20:4:10,Par,ch=5,c=7,v=98
20:4:16,Par,ch=5,c=7,v=97
20:4:23,Par,ch=5,c=7,v=96
20:4:30,Par,ch=5,c=7,v=95
20:4:40,Par,ch=5,c=7,v=94
20:4:46,Par,ch=5,c=7,v=93
20:4:53,Par,ch=5,c=7,v=92
20:5:0,Par,ch=5,c=7,v=91
20:5:10,Par,ch=5,c=7,v=90
20:5:16,Par,ch=5,c=7,v=89
20:5:23,Par,ch=5,c=7,v=88
20:5:30,Par,ch=5,c=7,v=87
20:5:40,Par,ch=5,c=7,v=86
20:5:46,Par,ch=5,c=7,v=85
20:5:53,Par,ch=5,c=7,v=84
21:0:0,On,ch=5,n=67,v=0
21:0:0,On,ch=5,n=55,v=0
21:0:0,Par,ch=5,c=7,v=83
24:2:0,On,ch=5,n=52,v=90
24:2:0,On,ch=5,n=64,v=90
24:2:0,Par,ch=5,c=7,v=109
25:0:0,On,ch=5,n=64,v=0
