BarNoteClick,Message,Channel,Pitch,Velocity
0:0:0,PrCh,ch=2,p=68
0:0:0,Par,ch=2,c=7,v=127
0:0:0,Par,ch=2,c=10,v=68
0:0:0,Par,ch=2,c=11,v=101
0:0:0,Par,ch=2,c=91,v=127
2:0:0,On,ch=2,n=68,v=100
2:0:0,Par,ch=2,c=7,v=68
2:0:25,Par,ch=2,c=7,v=67
2:0:48,Par,ch=2,c=7,v=66
2:1:13,Par,ch=2,c=7,v=65
2:1:36,Par,ch=2,c=7,v=64
2:2:0,Par,ch=2,c=7,v=63
2:2:25,Par,ch=2,c=7,v=62
2:2:48,Par,ch=2,c=7,v=61
2:3:13,Par,ch=2,c=7,v=60
2:3:36,Par,ch=2,c=7,v=59
2:4:0,Par,ch=2,c=7,v=58
2:5:0,On,ch=2,n=68,v=0
2:5:0,On,ch=2,n=69,v=100
3:0:0,On,ch=2,n=69,v=0
3:0:0,On,ch=2,n=70,v=100
3:1:0,On,ch=2,n=70,v=0
3:1:0,On,ch=2,n=71,v=100
3:4:0,On,ch=2,n=71,v=0
6:0:0,On,ch=2,n=62,v=100
6:0:0,On,ch=2,n=71,v=100
6:0:0,Par,ch=2,c=7,v=63
6:0:13,Par,ch=2,c=7,v=62
6:0:25,Par,ch=2,c=7,v=61
6:0:37,Par,ch=2,c=7,v=60
6:0:49,Par,ch=2,c=7,v=59
6:1:1,Par,ch=2,c=7,v=58
6:1:13,Par,ch=2,c=7,v=57
6:1:25,Par,ch=2,c=7,v=56
6:1:37,Par,ch=2,c=7,v=55
6:1:49,Par,ch=2,c=7,v=54
6:2:1,Par,ch=2,c=7,v=53
6:2:13,Par,ch=2,c=7,v=52
6:2:25,Par,ch=2,c=7,v=51
6:2:37,Par,ch=2,c=7,v=50
6:2:49,Par,ch=2,c=7,v=49
6:3:1,Par,ch=2,c=7,v=48
6:3:13,Par,ch=2,c=7,v=47
6:3:25,Par,ch=2,c=7,v=46
6:3:37,Par,ch=2,c=7,v=45
6:3:49,Par,ch=2,c=7,v=44
6:4:0,On,ch=2,n=71,v=0
6:4:0,On,ch=2,n=62,v=0
6:4:1,Par,ch=2,c=7,v=43
10:0:0,On,ch=2,n=65,v=100
10:0:0,On,ch=2,n=74,v=100
10:0:0,Par,ch=2,c=7,v=69
10:0:18,Par,ch=2,c=7,v=68
10:0:36,Par,ch=2,c=7,v=67
10:0:55,Par,ch=2,c=7,v=66
10:1:13,Par,ch=2,c=7,v=65
10:1:30,Par,ch=2,c=7,v=64
10:1:48,Par,ch=2,c=7,v=63
10:2:6,Par,ch=2,c=7,v=62
10:2:25,Par,ch=2,c=7,v=61
10:2:43,Par,ch=2,c=7,v=60
10:3:0,On,ch=2,n=65,v=0
10:3:0,Par,ch=2,c=7,v=59
10:4:0,On,ch=2,n=74,v=0
10:4:0,On,ch=2,n=75,v=100
10:5:0,On,ch=2,n=75,v=0
10:5:0,On,ch=2,n=76,v=100
11:0:0,On,ch=2,n=76,v=0
11:0:0,On,ch=2,n=77,v=100
11:1:0,On,ch=2,n=77,v=0
11:1:0,On,ch=2,n=78,v=100
11:4:0,On,ch=2,n=78,v=0
12:0:0,On,ch=2,n=80,v=100
12:0:1,Par,ch=2,c=7,v=49
12:0:31,Par,ch=2,c=7,v=50
12:1:1,Par,ch=2,c=7,v=51
12:1:31,Par,ch=2,c=7,v=52
12:2:1,Par,ch=2,c=7,v=53
12:2:31,Par,ch=2,c=7,v=54
12:3:1,Par,ch=2,c=7,v=55
12:3:31,Par,ch=2,c=7,v=56
12:4:1,Par,ch=2,c=7,v=57
12:4:31,Par,ch=2,c=7,v=58
12:5:1,Par,ch=2,c=7,v=59
12:5:31,Par,ch=2,c=7,v=60
13:0:0,On,ch=2,n=80,v=0
13:0:0,On,ch=2,n=81,v=100
13:0:0,Par,ch=2,c=7,v=62
13:0:31,Par,ch=2,c=7,v=61
13:1:1,Par,ch=2,c=7,v=60
13:1:31,Par,ch=2,c=7,v=59
13:2:1,Par,ch=2,c=7,v=58
13:2:31,Par,ch=2,c=7,v=57
