BarNoteClick,Message,Channel,Pitch,Velocity
0:0:0,PrCh,ch=16,p=45
0:0:0,Par,ch=16,c=10,v=100
0:0:0,Par,ch=16,c=11,v=101
0:0:0,Par,ch=16,c=91,v=127
16:0:0,On,ch=16,n=56,v=100
16:0:0,On,ch=16,n=40,v=100
16:0:0,Par,ch=16,c=7,v=89
16:0:1,On,ch=16,n=47,v=100
16:0:1,On,ch=16,n=71,v=100
16:0:3,On,ch=16,n=52,v=100
16:0:3,On,ch=16,n=62,v=100
16:2:0,On,ch=16,n=40,v=0
16:2:0,On,ch=16,n=56,v=0
16:2:1,On,ch=16,n=71,v=0
16:2:1,On,ch=16,n=47,v=0
16:2:3,On,ch=16,n=62,v=0
16:2:3,On,ch=16,n=52,v=0
18:0:0,On,ch=16,n=50,v=100
18:0:0,On,ch=16,n=42,v=100
18:0:0,Par,ch=16,c=7,v=64
18:0:3,On,ch=16,n=57,v=100
18:0:47,Par,ch=16,c=7,v=65
18:1:32,Par,ch=16,c=7,v=66
18:2:0,On,ch=16,n=42,v=0
18:2:0,On,ch=16,n=50,v=0
18:2:3,On,ch=16,n=57,v=0
18:2:17,Par,ch=16,c=7,v=67
18:2:57,On,ch=16,n=52,v=100
18:3:0,On,ch=16,n=43,v=100
18:3:2,Par,ch=16,c=7,v=68
18:3:3,On,ch=16,n=60,v=100
18:3:47,Par,ch=16,c=7,v=69
18:4:32,Par,ch=16,c=7,v=70
18:4:57,On,ch=16,n=52,v=0
18:5:0,On,ch=16,n=43,v=0
18:5:3,On,ch=16,n=60,v=0
18:5:17,Par,ch=16,c=7,v=71
19:0:0,On,ch=16,n=60,v=100
19:0:0,On,ch=16,n=45,v=100
19:0:2,Par,ch=16,c=7,v=72
19:0:3,On,ch=16,n=54,v=100
19:0:47,Par,ch=16,c=7,v=73
19:1:32,Par,ch=16,c=7,v=74
19:2:0,On,ch=16,n=45,v=0
19:2:0,On,ch=16,n=60,v=0
19:2:3,On,ch=16,n=54,v=0
19:2:17,Par,ch=16,c=7,v=75
19:2:57,On,ch=16,n=59,v=100
19:3:0,On,ch=16,n=62,v=100
19:3:0,On,ch=16,n=43,v=100
19:3:2,Par,ch=16,c=7,v=76
19:3:3,On,ch=16,n=53,v=100
19:3:47,Par,ch=16,c=7,v=77
19:4:32,Par,ch=16,c=7,v=78
19:4:57,On,ch=16,n=59,v=0
19:5:0,On,ch=16,n=62,v=0
19:5:0,On,ch=16,n=43,v=0
19:5:0,On,ch=16,n=41,v=100
19:5:3,On,ch=16,n=53,v=0
19:5:17,Par,ch=16,c=7,v=79
20:0:0,On,ch=16,n=41,v=0
20:0:0,On,ch=16,n=60,v=100
20:0:0,On,ch=16,n=52,v=100
20:0:0,On,ch=16,n=40,v=100
20:0:2,Par,ch=16,c=7,v=80
20:0:3,On,ch=16,n=55,v=100
20:0:47,Par,ch=16,c=7,v=81
20:1:32,Par,ch=16,c=7,v=82
20:2:0,On,ch=16,n=40,v=0
20:2:0,On,ch=16,n=60,v=0
20:2:0,On,ch=16,n=52,v=0
20:2:0,On,ch=16,n=50,v=100
20:2:0,On,ch=16,n=38,v=100
20:2:3,On,ch=16,n=55,v=0
20:2:3,On,ch=16,n=62,v=100
20:2:17,Par,ch=16,c=7,v=83
20:2:57,On,ch=16,n=49,v=100
20:3:0,On,ch=16,n=38,v=0
20:3:0,On,ch=16,n=50,v=0
20:3:0,On,ch=16,n=55,v=100
20:3:0,On,ch=16,n=37,v=100
20:3:2,Par,ch=16,c=7,v=84
20:3:3,On,ch=16,n=62,v=0
20:3:3,On,ch=16,n=64,v=100
20:4:57,On,ch=16,n=49,v=0
20:5:0,On,ch=16,n=37,v=0
20:5:0,On,ch=16,n=55,v=0
20:5:3,On,ch=16,n=64,v=0
21:0:0,On,ch=16,n=62,v=100
21:0:0,On,ch=16,n=50,v=100
21:0:0,On,ch=16,n=38,v=100
21:0:0,Par,ch=16,c=7,v=64
21:0:3,On,ch=16,n=57,v=100
21:2:0,On,ch=16,n=38,v=0
21:2:0,On,ch=16,n=62,v=0
21:2:0,On,ch=16,n=50,v=0
21:2:3,On,ch=16,n=57,v=0
97:0:0,On,ch=16,n=37,v=110
97:1:0,On,ch=16,n=37,v=0
100:0:0,On,ch=16,n=31,v=127
100:1:0,On,ch=16,n=31,v=0
111:0:0,On,ch=16,n=31,v=60
111:0:3,On,ch=16,n=43,v=60
111:1:0,On,ch=16,n=31,v=0
111:1:3,On,ch=16,n=43,v=0
111:3:0,On,ch=16,n=43,v=60
111:3:3,On,ch=16,n=31,v=60
111:4:0,On,ch=16,n=43,v=0
111:4:3,On,ch=16,n=31,v=0
