BarNoteClick,Message,Channel,Pitch,Velocity
0:0:0,PrCh,ch=14,p=48
0:0:0,Par,ch=14,c=7,v=127
0:0:0,Par,ch=14,c=10,v=65
0:0:0,Par,ch=14,c=91,v=127
0:0:0,Par,ch=14,c=11,v=101
17:0:0,Par,ch=14,c=7,v=116
17:0:0,On,ch=14,n=60,v=70
17:0:0,On,ch=14,n=57,v=70
17:0:0,On,ch=14,n=53,v=70
17:4:0,On,ch=14,n=53,v=0
17:4:0,On,ch=14,n=57,v=0
17:4:0,On,ch=14,n=60,v=0
21:0:0,Par,ch=14,c=7,v=64
21:3:0,On,ch=14,n=51,v=120
21:5:0,On,ch=14,n=51,v=0
21:5:0,On,ch=14,n=52,v=120
22:0:0,On,ch=14,n=52,v=0
22:0:0,On,ch=14,n=52,v=120
22:3:0,On,ch=14,n=52,v=0
22:3:0,On,ch=14,n=51,v=120
22:3:0,Par,ch=14,c=7,v=64
22:3:5,Par,ch=14,c=7,v=65
22:3:10,Par,ch=14,c=7,v=66
22:3:15,Par,ch=14,c=7,v=67
22:3:20,Par,ch=14,c=7,v=69
22:3:25,Par,ch=14,c=7,v=70
22:3:30,Par,ch=14,c=7,v=71
22:3:35,Par,ch=14,c=7,v=73
22:3:40,Par,ch=14,c=7,v=74
22:3:45,Par,ch=14,c=7,v=75
22:3:50,Par,ch=14,c=7,v=77
22:3:55,Par,ch=14,c=7,v=78
22:4:0,Par,ch=14,c=7,v=79
22:4:5,Par,ch=14,c=7,v=81
22:4:10,Par,ch=14,c=7,v=82
22:4:15,Par,ch=14,c=7,v=83
22:4:20,Par,ch=14,c=7,v=85
22:4:25,Par,ch=14,c=7,v=86
22:4:30,Par,ch=14,c=7,v=87
22:4:35,Par,ch=14,c=7,v=89
22:4:40,Par,ch=14,c=7,v=88
22:4:45,Par,ch=14,c=7,v=87
22:4:50,Par,ch=14,c=7,v=85
22:4:55,Par,ch=14,c=7,v=84
22:5:0,On,ch=14,n=51,v=0
22:5:0,On,ch=14,n=52,v=120
22:5:0,Par,ch=14,c=7,v=82
22:5:5,Par,ch=14,c=7,v=81
22:5:10,Par,ch=14,c=7,v=79
22:5:15,Par,ch=14,c=7,v=78
22:5:20,Par,ch=14,c=7,v=76
22:5:25,Par,ch=14,c=7,v=75
22:5:30,Par,ch=14,c=7,v=73
22:5:35,Par,ch=14,c=7,v=72
22:5:40,Par,ch=14,c=7,v=70
22:5:45,Par,ch=14,c=7,v=69
22:5:50,Par,ch=14,c=7,v=67
22:5:55,Par,ch=14,c=7,v=66
23:0:0,On,ch=14,n=52,v=0
23:0:0,On,ch=14,n=54,v=120
23:0:0,Par,ch=14,c=7,v=64
23:3:0,On,ch=14,n=54,v=0
23:3:0,On,ch=14,n=54,v=120
23:3:0,Par,ch=14,c=7,v=64
23:3:11,Par,ch=14,c=7,v=65
23:3:21,Par,ch=14,c=7,v=66
23:3:31,Par,ch=14,c=7,v=67
23:3:42,Par,ch=14,c=7,v=68
23:3:52,Par,ch=14,c=7,v=69
23:4:2,Par,ch=14,c=7,v=70
23:4:12,Par,ch=14,c=7,v=71
23:4:23,Par,ch=14,c=7,v=72
23:4:33,Par,ch=14,c=7,v=73
23:4:43,Par,ch=14,c=7,v=74
23:4:54,Par,ch=14,c=7,v=75
23:5:0,On,ch=14,n=54,v=0
23:5:4,Par,ch=14,c=7,v=76
23:5:14,Par,ch=14,c=7,v=77
23:5:24,Par,ch=14,c=7,v=78
23:5:35,Par,ch=14,c=7,v=79
23:5:45,Par,ch=14,c=7,v=80
23:5:55,Par,ch=14,c=7,v=81
24:0:6,Par,ch=14,c=7,v=82
24:0:16,Par,ch=14,c=7,v=83
24:0:26,Par,ch=14,c=7,v=84
24:0:36,Par,ch=14,c=7,v=85
24:0:47,Par,ch=14,c=7,v=86
24:0:57,Par,ch=14,c=7,v=87
24:1:7,Par,ch=14,c=7,v=88
24:1:18,Par,ch=14,c=7,v=89
24:1:28,Par,ch=14,c=7,v=90
24:1:38,Par,ch=14,c=7,v=91
24:1:48,Par,ch=14,c=7,v=92
24:1:59,Par,ch=14,c=7,v=93
24:2:0,On,ch=14,n=56,v=120
24:2:9,Par,ch=14,c=7,v=94
24:2:19,Par,ch=14,c=7,v=95
24:2:30,Par,ch=14,c=7,v=96
24:2:40,Par,ch=14,c=7,v=97
24:2:50,Par,ch=14,c=7,v=98
24:3:0,Par,ch=14,c=7,v=99
24:4:0,On,ch=14,n=56,v=0
24:4:0,On,ch=14,n=57,v=120
25:0:0,On,ch=14,n=57,v=0
25:0:0,On,ch=14,n=54,v=120
25:0:0,Par,ch=14,c=7,v=99
25:0:11,Par,ch=14,c=7,v=98
25:0:21,Par,ch=14,c=7,v=97
25:0:31,Par,ch=14,c=7,v=96
25:0:42,Par,ch=14,c=7,v=95
25:0:52,Par,ch=14,c=7,v=94
25:1:2,Par,ch=14,c=7,v=93
25:1:12,Par,ch=14,c=7,v=92
25:1:23,Par,ch=14,c=7,v=91
25:1:33,Par,ch=14,c=7,v=90
25:1:43,Par,ch=14,c=7,v=89
25:1:54,Par,ch=14,c=7,v=88
25:2:4,Par,ch=14,c=7,v=87
25:2:14,Par,ch=14,c=7,v=86
25:2:24,Par,ch=14,c=7,v=85
25:2:35,Par,ch=14,c=7,v=84
25:2:45,Par,ch=14,c=7,v=83
25:2:55,Par,ch=14,c=7,v=82
25:3:0,On,ch=14,n=54,v=0
25:3:0,On,ch=14,n=51,v=120
25:3:6,Par,ch=14,c=7,v=81
25:3:16,Par,ch=14,c=7,v=80
25:3:26,Par,ch=14,c=7,v=79
25:3:36,Par,ch=14,c=7,v=78
25:3:47,Par,ch=14,c=7,v=77
25:3:57,Par,ch=14,c=7,v=76
25:4:7,Par,ch=14,c=7,v=75
25:4:18,Par,ch=14,c=7,v=74
25:4:28,Par,ch=14,c=7,v=73
25:4:38,Par,ch=14,c=7,v=72
25:4:48,Par,ch=14,c=7,v=71
25:4:59,Par,ch=14,c=7,v=70
25:5:9,Par,ch=14,c=7,v=69
25:5:19,Par,ch=14,c=7,v=68
25:5:30,Par,ch=14,c=7,v=67
25:5:40,Par,ch=14,c=7,v=66
25:5:50,Par,ch=14,c=7,v=65
26:0:0,On,ch=14,n=51,v=0
26:0:0,On,ch=14,n=52,v=120
26:0:0,Par,ch=14,c=7,v=64
26:0:15,Par,ch=14,c=7,v=65
26:0:29,Par,ch=14,c=7,v=66
26:0:44,Par,ch=14,c=7,v=67
26:0:58,Par,ch=14,c=7,v=68
26:1:13,Par,ch=14,c=7,v=69
26:1:27,Par,ch=14,c=7,v=70
26:1:42,Par,ch=14,c=7,v=71
26:1:56,Par,ch=14,c=7,v=72
26:2:10,Par,ch=14,c=7,v=73
26:2:25,Par,ch=14,c=7,v=74
26:2:39,Par,ch=14,c=7,v=75
26:2:54,Par,ch=14,c=7,v=76
26:3:0,On,ch=14,n=52,v=0
26:3:0,On,ch=14,n=56,v=120
26:3:8,Par,ch=14,c=7,v=77
26:3:23,Par,ch=14,c=7,v=78
26:3:37,Par,ch=14,c=7,v=79
26:3:52,Par,ch=14,c=7,v=80
26:4:6,Par,ch=14,c=7,v=81
26:4:20,Par,ch=14,c=7,v=82
26:4:35,Par,ch=14,c=7,v=83
26:4:49,Par,ch=14,c=7,v=84
26:5:4,Par,ch=14,c=7,v=85
26:5:18,Par,ch=14,c=7,v=86
26:5:33,Par,ch=14,c=7,v=87
26:5:47,Par,ch=14,c=7,v=88
27:0:0,On,ch=14,n=56,v=0
27:0:0,On,ch=14,n=52,v=120
27:0:0,Par,ch=14,c=7,v=89
27:0:15,Par,ch=14,c=7,v=88
27:0:29,Par,ch=14,c=7,v=87
27:0:44,Par,ch=14,c=7,v=86
27:0:58,Par,ch=14,c=7,v=85
27:1:12,Par,ch=14,c=7,v=84
27:1:27,Par,ch=14,c=7,v=83
27:1:41,Par,ch=14,c=7,v=82
27:1:56,Par,ch=14,c=7,v=81
27:2:10,Par,ch=14,c=7,v=80
27:2:24,Par,ch=14,c=7,v=79
27:2:39,Par,ch=14,c=7,v=78
27:2:53,Par,ch=14,c=7,v=77
27:3:0,On,ch=14,n=52,v=0
27:3:0,On,ch=14,n=49,v=120
27:3:8,Par,ch=14,c=7,v=76
27:3:22,Par,ch=14,c=7,v=75
27:3:36,Par,ch=14,c=7,v=74
27:3:51,Par,ch=14,c=7,v=73
27:4:5,Par,ch=14,c=7,v=72
27:4:20,Par,ch=14,c=7,v=71
27:4:34,Par,ch=14,c=7,v=70
27:4:48,Par,ch=14,c=7,v=69
27:5:3,Par,ch=14,c=7,v=68
27:5:17,Par,ch=14,c=7,v=67
27:5:32,Par,ch=14,c=7,v=66
27:5:46,Par,ch=14,c=7,v=65
28:0:0,On,ch=14,n=49,v=0
28:0:0,On,ch=14,n=54,v=120
28:0:0,Par,ch=14,c=7,v=64
28:0:11,Par,ch=14,c=7,v=65
28:0:21,Par,ch=14,c=7,v=66
28:0:31,Par,ch=14,c=7,v=67
28:0:42,Par,ch=14,c=7,v=68
28:0:52,Par,ch=14,c=7,v=69
28:1:2,Par,ch=14,c=7,v=70
28:1:12,Par,ch=14,c=7,v=71
28:1:23,Par,ch=14,c=7,v=72
28:1:33,Par,ch=14,c=7,v=73
28:1:43,Par,ch=14,c=7,v=74
28:1:54,Par,ch=14,c=7,v=75
28:2:4,Par,ch=14,c=7,v=76
28:2:14,Par,ch=14,c=7,v=77
28:2:24,Par,ch=14,c=7,v=78
28:2:35,Par,ch=14,c=7,v=79
28:2:45,Par,ch=14,c=7,v=80
28:2:55,Par,ch=14,c=7,v=81
28:3:6,Par,ch=14,c=7,v=82
28:3:16,Par,ch=14,c=7,v=83
28:3:26,Par,ch=14,c=7,v=84
28:3:36,Par,ch=14,c=7,v=85
