BarNoteClick,Message,Channel,Pitch,Velocity
0:0:0,PrCh,ch=12,p=48
0:0:0,Par,ch=12,c=7,v=127
0:0:0,Par,ch=12,c=10,v=30
0:0:0,PrCh,ch=12,p=49
0:0:0,Par,ch=12,c=7,v=127
0:0:0,Par,ch=12,c=11,v=101
0:0:0,Par,ch=12,c=91,v=127
13:5:59,Par,ch=12,c=7,v=5
14:0:0,On,ch=12,n=77,v=120
14:0:1,Par,ch=12,c=7,v=9
14:0:5,Par,ch=12,c=7,v=13
14:0:9,Par,ch=12,c=7,v=17
14:0:10,Par,ch=12,c=7,v=18
14:0:11,Par,ch=12,c=7,v=19
14:0:12,Par,ch=12,c=7,v=21
14:0:13,Par,ch=12,c=7,v=24
14:0:14,Par,ch=12,c=7,v=25
14:0:17,Par,ch=12,c=7,v=29
14:0:19,Par,ch=12,c=7,v=30
14:0:20,Par,ch=12,c=7,v=32
14:0:21,Par,ch=12,c=7,v=36
14:0:22,Par,ch=12,c=7,v=37
14:0:25,Par,ch=12,c=7,v=39
14:0:26,Par,ch=12,c=7,v=41
14:0:30,Par,ch=12,c=7,v=43
14:0:32,Par,ch=12,c=7,v=44
14:0:33,Par,ch=12,c=7,v=45
14:0:36,Par,ch=12,c=7,v=46
14:0:37,Par,ch=12,c=7,v=49
14:0:40,Par,ch=12,c=7,v=51
14:0:41,Par,ch=12,c=7,v=53
14:0:45,Par,ch=12,c=7,v=55
14:0:46,Par,ch=12,c=7,v=56
14:0:48,Par,ch=12,c=7,v=57
14:0:52,Par,ch=12,c=7,v=57
14:0:59,Par,ch=12,c=7,v=58
14:1:0,On,ch=12,n=77,v=0
14:1:0,On,ch=12,n=78,v=120
14:1:5,Par,ch=12,c=7,v=59
14:1:12,Par,ch=12,c=7,v=60
14:1:18,Par,ch=12,c=7,v=61
14:1:25,Par,ch=12,c=7,v=62
14:1:31,Par,ch=12,c=7,v=63
14:1:38,Par,ch=12,c=7,v=64
14:1:44,Par,ch=12,c=7,v=65
14:1:51,Par,ch=12,c=7,v=66
14:1:57,Par,ch=12,c=7,v=67
14:2:4,Par,ch=12,c=7,v=68
14:2:10,Par,ch=12,c=7,v=69
14:2:17,Par,ch=12,c=7,v=70
14:2:23,Par,ch=12,c=7,v=71
14:2:30,Par,ch=12,c=7,v=72
14:2:36,Par,ch=12,c=7,v=73
14:2:43,Par,ch=12,c=7,v=74
14:2:49,Par,ch=12,c=7,v=75
14:2:56,Par,ch=12,c=7,v=76
14:3:2,Par,ch=12,c=7,v=77
14:3:9,Par,ch=12,c=7,v=78
14:3:15,Par,ch=12,c=7,v=79
14:3:22,Par,ch=12,c=7,v=80
14:3:28,Par,ch=12,c=7,v=81
14:3:35,Par,ch=12,c=7,v=82
14:3:41,Par,ch=12,c=7,v=83
14:3:48,Par,ch=12,c=7,v=84
14:3:54,Par,ch=12,c=7,v=85
14:4:0,On,ch=12,n=78,v=0
14:4:0,Par,ch=12,c=7,v=86
15:0:0,PrCh,ch=12,p=48
16:0:0,On,ch=12,n=77,v=120
16:0:0,Par,ch=12,c=7,v=89
16:1:0,On,ch=12,n=77,v=0
16:1:0,On,ch=12,n=78,v=120
16:1:0,Par,ch=12,c=7,v=100
16:4:0,On,ch=12,n=78,v=0
16:4:0,On,ch=12,n=79,v=120
16:5:30,On,ch=12,n=79,v=0
16:5:30,On,ch=12,n=80,v=120
17:0:0,On,ch=12,n=80,v=0
17:0:0,On,ch=12,n=83,v=120
17:0:0,Par,ch=12,c=7,v=116
17:1:0,Par,ch=12,c=7,v=116
17:1:5,Par,ch=12,c=7,v=115
17:1:10,Par,ch=12,c=7,v=114
17:1:14,Par,ch=12,c=7,v=113
17:1:19,Par,ch=12,c=7,v=112
17:1:24,Par,ch=12,c=7,v=111
17:1:28,Par,ch=12,c=7,v=110
17:1:33,Par,ch=12,c=7,v=109
17:1:37,Par,ch=12,c=7,v=108
17:1:42,Par,ch=12,c=7,v=107
17:1:47,Par,ch=12,c=7,v=106
17:1:51,Par,ch=12,c=7,v=105
17:1:56,Par,ch=12,c=7,v=104
17:2:0,Par,ch=12,c=7,v=103
17:2:5,Par,ch=12,c=7,v=102
17:2:10,Par,ch=12,c=7,v=101
17:2:14,Par,ch=12,c=7,v=100
17:2:19,Par,ch=12,c=7,v=99
17:2:24,Par,ch=12,c=7,v=98
17:2:28,Par,ch=12,c=7,v=97
17:2:33,Par,ch=12,c=7,v=96
17:2:37,Par,ch=12,c=7,v=95
17:2:42,Par,ch=12,c=7,v=94
17:2:47,Par,ch=12,c=7,v=93
17:2:51,Par,ch=12,c=7,v=92
17:2:56,Par,ch=12,c=7,v=91
17:3:0,On,ch=12,n=83,v=0
17:3:0,On,ch=12,n=81,v=120
17:3:0,Par,ch=12,c=7,v=90
17:3:5,Par,ch=12,c=7,v=89
17:3:10,Par,ch=12,c=7,v=88
17:3:14,Par,ch=12,c=7,v=87
17:3:19,Par,ch=12,c=7,v=86
17:3:24,Par,ch=12,c=7,v=85
17:3:28,Par,ch=12,c=7,v=84
17:3:33,Par,ch=12,c=7,v=83
17:3:37,Par,ch=12,c=7,v=82
17:3:42,Par,ch=12,c=7,v=81
17:3:47,Par,ch=12,c=7,v=80
17:3:51,Par,ch=12,c=7,v=79
17:3:56,Par,ch=12,c=7,v=78
17:4:0,Par,ch=12,c=7,v=77
17:4:5,Par,ch=12,c=7,v=76
17:4:10,Par,ch=12,c=7,v=75
17:4:14,Par,ch=12,c=7,v=74
17:4:19,Par,ch=12,c=7,v=73
17:4:24,Par,ch=12,c=7,v=72
17:4:28,Par,ch=12,c=7,v=71
17:4:33,Par,ch=12,c=7,v=70
17:4:37,Par,ch=12,c=7,v=69
17:4:42,Par,ch=12,c=7,v=68
17:4:47,Par,ch=12,c=7,v=67
17:4:51,Par,ch=12,c=7,v=66
17:4:56,Par,ch=12,c=7,v=65
17:5:0,On,ch=12,n=81,v=0
17:5:0,Par,ch=12,c=7,v=64
23:3:0,On,ch=12,n=63,v=120
23:3:0,Par,ch=12,c=7,v=64
23:3:11,Par,ch=12,c=7,v=65
23:3:21,Par,ch=12,c=7,v=66
23:3:31,Par,ch=12,c=7,v=67
23:3:42,Par,ch=12,c=7,v=68
23:3:52,Par,ch=12,c=7,v=69
23:4:0,On,ch=12,n=63,v=0
23:4:0,On,ch=12,n=64,v=120
23:4:2,Par,ch=12,c=7,v=70
23:4:12,Par,ch=12,c=7,v=71
23:4:15,On,ch=12,n=64,v=0
23:4:23,Par,ch=12,c=7,v=72
23:4:30,On,ch=12,n=65,v=120
23:4:33,Par,ch=12,c=7,v=73
23:4:43,Par,ch=12,c=7,v=74
23:4:45,On,ch=12,n=65,v=0
23:4:54,Par,ch=12,c=7,v=75
23:5:0,On,ch=12,n=66,v=120
23:5:4,Par,ch=12,c=7,v=76
23:5:14,Par,ch=12,c=7,v=77
23:5:15,On,ch=12,n=66,v=0
23:5:24,Par,ch=12,c=7,v=78
23:5:30,On,ch=12,n=67,v=120
23:5:35,Par,ch=12,c=7,v=79
23:5:45,On,ch=12,n=67,v=0
23:5:45,Par,ch=12,c=7,v=80
23:5:55,Par,ch=12,c=7,v=81
24:0:0,On,ch=12,n=67,v=120
24:0:6,Par,ch=12,c=7,v=82
24:0:15,On,ch=12,n=67,v=0
24:0:16,Par,ch=12,c=7,v=83
24:0:26,Par,ch=12,c=7,v=84
24:0:30,On,ch=12,n=68,v=120
24:0:36,Par,ch=12,c=7,v=85
24:0:45,On,ch=12,n=68,v=0
24:0:47,Par,ch=12,c=7,v=86
24:0:57,Par,ch=12,c=7,v=87
24:1:0,On,ch=12,n=69,v=120
24:1:7,Par,ch=12,c=7,v=88
